log_temp,amb_pressure,log_rh
2.2607208888953467,1017.01,4.096009841541162
2.488234439880675,1019.72,4.5503971601408
2.6297282343267403,1024.42,4.4029315953537775
2.61885462229774,1017.89,4.370459998302416
2.717340248009303,1023.78,4.31748811353631
3.1625170911988163,1006.41,4.419563238202607
3.1350593387750902,1009.88,4.401338945706255
2.553343811341229,1015.89,4.231930225174664
3.3971893602646164,1011.14,4.021415382199343
3.145013976269745,1002.47,4.447228997919515
2.199444334074532,1019.02,4.248209486939542
3.2627013044082305,1017.41,4.28096243218686
2.8130106367386967,1013.68,4.257879641930999
3.386422096080001,1006.09,3.741709067758468
3.4011973816621555,1009.4,3.8842406244156944
3.414113606928702,1007.55,4.287166353649922
3.038791763014438,1007.5,4.333492687678026
3.337192051686243,1009.69,4.169142772297287
2.937043277205311,1007.28,4.362716386139382
3.4610373820181723,1014.76,3.851423383299216
2.860485124145965,1015.28,4.479833694676794
3.2204745462318978,1005.56,4.197652973753796
3.367640598133313,1007.26,4.103469469999101
3.1072736482868986,1013.1,4.439587745198413
2.637627736805664,1017.19,4.471067201464611
2.975529566236472,1017.65,4.4577137165202165
2.52652832447882,1013.24,4.51688527112052
3.1250046092581303,1013.85,4.024458434757935
2.9780773383152703,1009.76,4.322276630268108
2.6932749155200555,1017.02,4.411585436915426
3.52459425980608,1015.94,3.4392154488496764
2.021547563260933,1011.21,4.535284058523925
1.7263316639055997,1020.91,4.456786180221833
3.033028058297688,1012.51,4.447228997919515
2.914522218128448,1001.14,4.2021520815229785
2.5478814489493886,1025.16,4.444296960400006
2.191653532286764,1017.56,4.552296696381023
3.464172180823544,1008.38,4.1935863968717495
2.2975725511705014,1029.3725,4.240463070352095
3.1023420086122493,1016.79,4.234396317669857
3.175968323856924,1010.45,4.308649164869106
3.481240089335692,1014.65,4.020339148911605
3.279029747687948,1013.92,3.955465563270983
2.60638654732571,1015.7,4.462223176668158
2.891482252180192,1003.86,4.606069781230928
3.3467411958660964,1018.48,4.026600910135581
3.202746442938317,1012.87,4.385520523928138
3.044998514856909,1010.93,4.364371699435161
3.15016862685841,1012.73,4.3052805704285655
3.43043250693049,1008.99,4.035655565873421
3.3467411958660964,1010.29,4.277915338416487
3.277144732992177,1018.48,4.120986493168521
3.156148994959896,1015.82,4.108083088332614
3.4081729953985804,1006.82,3.9895394478559743
3.2308043957334744,1015.91,4.244343779498307
3.3061538329752613,1009.21,4.499365127091115
3.321793358874887,1006.43,4.222591181666628
3.133753571451366,1005.68,4.542549824006424
2.151762203259462,1026.4,4.397284637062863
2.596000697293587,1010.85,4.495466920896128
3.382693910097596,1010.49,4.172385267224964
3.111735949310297,1011.5,4.256179924807906
3.3593331775634567,1013.73,3.6000482404073204
3.242982900211434,1014.1,4.141546163706395
2.976549454137217,1020.76,4.33768282082183
3.221272949467922,1014.37,3.658935577740864
1.8779371654691075,1011.54,4.539991459963097
3.3748534063225533,1000.87,4.348857573282368
2.860485124145965,1012.25,4.340944189572651
3.0946722214088944,1014.02,4.326910252115215
2.93119375241642,1007.99,4.327570448877823
3.200711854240529,1015.22,4.103139109903596
2.917770732084279,1010.82,4.522223265167165
3.4131259525274293,1008.96,4.125035409542898
3.3985271531062766,1009.12,4.206928922969246
3.1620938107692163,1007.0,4.508659285607248
3.4343097331123578,1010.92,3.883829271057364
2.987700101856727,1019.54,4.338597076746545
3.132446096869813,1017.75,3.990649325883336
3.096482176654134,1007.56,4.33729074083249
2.435366204227864,1025.5,4.328757705794541
2.52652832447882,1027.36,4.475744638547633
2.9375733593804587,1005.25,4.597037202757902
3.396854632228018,1004.53,4.308110951723713
3.334701390373791,1007.17,4.2049910823091645
2.738256043159276,1017.9,4.395929539842873
3.3621099929541085,1010.73,3.7674595542367935
2.6411978941143697,1020.5,4.426641427432833
2.580216829592325,1013.96,4.36665915754276
2.5771819258971718,1016.43,4.375379591952088
3.4333418349887226,1009.96,4.076180591594429
3.494080375808869,1000.74,3.6790816116338254
2.647592232065096,1018.73,4.3374214512437606
2.3243465847755584,1022.65,4.425804257019769
2.615934912194404,1024.91,4.445705411337064
3.2472688993694185,1016.19,4.096009841541162
3.119276459645446,1008.0,4.410006521180839
3.2011191032789417,1011.42,4.28317268312119
3.3975239762958465,1009.0,4.020339148911605
3.3446270301737613,1010.65,4.100657924278693
2.6108048166633746,1017.78,4.4868369990262265
3.096029994869355,1016.74,4.302712827954156
1.9726911717329556,1019.67,4.259435182087693
2.392425796993835,1012.36,4.294560608892605
1.5810384379124025,1012.73,4.51513606328411
3.141130476243348,1008.96,4.448516375942715
3.166740070447672,1014.08,4.137563681342077
2.0451088625993306,1020.71,4.157788734778635
3.40552135314221,1010.99,4.119037174812473
3.541828511401901,1013.53,3.60386607978698
2.4915511925066687,1008.21,4.564452352709533
3.318540147981146,1008.04,4.143769445549624
3.195811885269649,1007.68,4.177152673409416
2.8172035149987327,1015.02,4.495466920896128
2.113842968397168,1023.29,4.375002019736917
2.924773184613497,1010.21,4.57605028741424
3.3782698770184507,1013.24,4.009149716158869
3.402529826895934,1017.65,3.9672684796541247
2.48073127837752,1017.58,4.509649984130679
2.641910398597665,1021.93,4.4557416724961625
3.1471649773142003,1020.98,4.265211880082047
2.8610573702273894,1016.49,4.503691017038237
3.089677886396519,1010.93,4.462453883786496
2.613006652415316,1018.32,4.130354999745133
2.9652730660692823,1012.89,4.324529928325356
2.7638002162067017,1012.18,3.697095608885277
3.305053521109253,1006.53,4.104954741334116
3.3638415951183864,1015.96,3.8079949350040985
